Assessment for [Project](https://github.com/subodh30/se22_grp20_hw2345); [Google Doc Link](https://docs.google.com/spreadsheets/d/1KuW-SH46KmFW0grEX2wT01jicUSew_5sr1QdGuSrweU/edit#gid=2137081695&range=B36)

| Notes                                                                                                                                                                                    | Assessment | evidence                                                                                 |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------|------------------------------------------------------------------------------------------|
| Video1                                                                                                                                                                                   | 0          ||                                                                                         | 
| Video2                                                                                                                                                                                   | 0          ||                                                                                         |            
| Workload is spread over the whole team (one team member is often Xtimes more productive than the others... but nevertheless, here is a track record that everyone is contributing a lot) | 2          | https://github.com/subodh30/se22_grp20_hw2345/graphs/contributors             		   |
| Number of commits                                                                                                                                                                        | 3          | https://github.com/subodh30/se22_grp20_hw2345/commits                                    |
| Number of commits: by different people                                                                                                                                                   | 2          | https://github.com/subodh30/se22_grp20_hw2345/graphs/contributors             		   |
| Issues reports: there are **many**                                                                                                                                                       | 3          | https://github.com/subodh30/se22_grp20_hw2345/issues?q=is%3Aissue+is%3Aclosed            |
| Issues are being closed                                                                                                                                                                  | 3          | https://github.com/subodh30/se22_grp20_hw2345/issues?q=is%3Aissue+is%3Aclosed            | 
| DOI badge: exists                                                                                                                                                                        | 3          | https://zenodo.org/record/7114719                                                        |
| Docs: doco generated, format not ugly                                                                                                                                                    | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Docs: what: point descriptions of each class/function (in isolation)                                                                                                                     | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z                                                                                          | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing                                                            | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.                                                                              | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Use of version control tools                                                                                                                                                             | 3          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Use of style checkers                                                                                                                                                                    | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Use of code formatters.                                                                                                                                                                  | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Use of syntax checkers.                                                                                                                                                                  | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Use of code coverage                                                                                                                                                                     | 3          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Other automated analysis tools                                                                                                                                                           | 0          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| Test cases exist                                                                                                                                                                         | 3          | https://github.com/subodh30/se22_grp20_hw2345/tree/master/src/test                       |
| Test cases are routinely executed                                                                                                                                                        | 2          | https://github.com/subodh30/se22_grp20_hw2345                                            |
| The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up                                                                 | 1          | https://github.com/subodh30/se22_grp20_hw2345/blob/master/CONTRIBUTING.md                |
| Issues are discussed before they are closed; even if you discuss in slack, need a sumamry statement here                                                                                 | 0          | https://github.com/subodh30/se22_grp20_hw2345/issues?q=is%3Aissue+is%3Aclosed            |
| Chat channel: exists                                                                                                                                                                     | 0          | https://github.com/subodh30/se22_grp20_hw2345/issues?q=is%3Aissue+is%3Aclosed            |
| Test cases: a large proportion of the issues related to handling failing cases.                                                                                                          | 0          | https://github.com/subodh30/se22_grp20_hw2345/issues?q=is%3Aissue+is%3Aclosed            |
| Evidence that the whole team is using the same tools: everyone can get to all tools and files                                                                                            | 2          | https://github.com/subodh30/se22_grp20_hw2345/blob/master/INSTALL.md                     |
| Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)                                                                | 2          | https://github.com/subodh30/se22_grp20_hw2345/blob/master/.gitignore                     |
| Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)                                  | 0          ||
| Evidence that the members of the team are working across multiple places in the code base                                                                                                | 3          | https://github.com/subodh30/se22_grp20_hw2345                                            | 
| Short release cycles                                                                                                                                                                     | 3          | https://github.com/subodh30/se22_grp20_hw2345/commits                                    |
